bee_taxon,bee_group_or_common_name,family,genus,rank,all_interaction_rows,source_backed_rows,bee_plant_rows,unique_plants,best_local_support,min_distance_mi,garden_action
Halictidae,sweat bee family,Halictidae,,family,1,1,1,1,≤150 mi from Kyle coordinate,136.9,Plant a mix of locally native flowers recorded with this bee. Many are small ground-nesting bees. Bare soil patches and low-disturbance edges can matter.
Halictinae,sweat bee family,Halictidae,,subfamily,1,1,0,0,≤25 mi from Kyle coordinate,22.6,This dataset has little or no plant-link evidence for this taxon; use the family-level nesting clue first. Many are small ground-nesting bees. Bare soil patches and low-disturbance edges can matter.
Halictus ligatus,furrow/sweat bee,Halictidae,Halictus,species,105,105,86,19,≤25 mi from Kyle coordinate,21.1,Plant a mix of locally native flowers recorded with this bee. Many are small ground-nesting bees. Bare soil patches and low-disturbance edges can matter.
Halictus tripartitus,furrow/sweat bee,Halictidae,Halictus,species,6,6,4,2,regional locality text,54.8,Plant a mix of locally native flowers recorded with this bee. Many are small ground-nesting bees. Bare soil patches and low-disturbance edges can matter.
Heriades,resin bee,Megachilidae,Heriades,genus,4,4,3,3,regional locality text,75.7,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Heriades carinata,resin bee,Megachilidae,Heriades,species,4,4,4,2,≤50 mi from Kyle coordinate,27.3,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Heriades variolosa,resin bee,Megachilidae,Heriades,species,7,7,7,4,≤25 mi from Kyle coordinate,23.7,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Hoplitis,"leafcutter, mason, resin, and carder bee family",Megachilidae,Hoplitis,genus,5,5,4,2,≤50 mi from Kyle coordinate,34.7,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Hoplitis nemophilae,"leafcutter, mason, resin, and carder bee family",Megachilidae,Hoplitis,species,2,2,2,1,≤50 mi from Kyle coordinate,25.4,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Hoplitis pilosifrons,"leafcutter, mason, resin, and carder bee family",Megachilidae,Hoplitis,species,8,8,8,2,regional locality text,102.0,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Hoplitis simplex,"leafcutter, mason, resin, and carder bee family",Megachilidae,Hoplitis,species,7,7,7,1,≤50 mi from Kyle coordinate,25.4,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Hylaeus mesillae cressoni,yellow-faced bee,Colletidae,Hylaeus,subspecies,14,14,14,1,≤150 mi from Kyle coordinate,97.8,Plant a mix of locally native flowers recorded with this bee. Many line nest cells with a waterproof material; several nest in soil or stems. Avoid over-managing every nesting edge.
Hylaeus modestus,yellow-faced bee,Colletidae,Hylaeus,species,17,17,17,2,≤50 mi from Kyle coordinate,25.4,Plant a mix of locally native flowers recorded with this bee. Many line nest cells with a waterproof material; several nest in soil or stems. Avoid over-managing every nesting edge.
Lasioglossum,sweat bee,Halictidae,Lasioglossum,genus,5,5,5,3,≤50 mi from Kyle coordinate,32.7,Plant a mix of locally native flowers recorded with this bee. Many are small ground-nesting bees. Bare soil patches and low-disturbance edges can matter.
Lasioglossum bardum,sweat bee,Halictidae,Lasioglossum,species,45,45,8,4,≤25 mi from Kyle coordinate,20.4,Plant a mix of locally native flowers recorded with this bee. Many are small ground-nesting bees. Bare soil patches and low-disturbance edges can matter.
Lasioglossum cinctipes,sweat bee,Halictidae,Lasioglossum,species,24,24,24,1,≤150 mi from Kyle coordinate,136.6,Plant a mix of locally native flowers recorded with this bee. Many are small ground-nesting bees. Bare soil patches and low-disturbance edges can matter.
Lasioglossum coactum,sweat bee,Halictidae,Lasioglossum,species,3,3,2,1,≤50 mi from Kyle coordinate,43.3,Plant a mix of locally native flowers recorded with this bee. Many are small ground-nesting bees. Bare soil patches and low-disturbance edges can matter.
Lasioglossum connexum,sweat bee,Halictidae,Lasioglossum,species,2,2,2,1,≤50 mi from Kyle coordinate,32.9,Plant a mix of locally native flowers recorded with this bee. Many are small ground-nesting bees. Bare soil patches and low-disturbance edges can matter.
Lasioglossum disparile,sweat bee,Halictidae,Lasioglossum,species,1,1,1,1,≤150 mi from Kyle coordinate,113.3,Plant a mix of locally native flowers recorded with this bee. Many are small ground-nesting bees. Bare soil patches and low-disturbance edges can matter.
Lasioglossum sisymbrii,sweat bee,Halictidae,Lasioglossum,species,1,1,1,1,≤150 mi from Kyle coordinate,115.3,Plant a mix of locally native flowers recorded with this bee. Many are small ground-nesting bees. Bare soil patches and low-disturbance edges can matter.
Lasioglossum vierecki,sweat bee,Halictidae,Lasioglossum,species,4,4,4,2,≤50 mi from Kyle coordinate,36.5,Plant a mix of locally native flowers recorded with this bee. Many are small ground-nesting bees. Bare soil patches and low-disturbance edges can matter.
Lithurgopsis gibbosa,"leafcutter, mason, resin, and carder bee family",Megachilidae,Lithurgopsis,species,8,8,4,1,≤50 mi from Kyle coordinate,42.7,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Lithurgopsis littoralis,"leafcutter, mason, resin, and carder bee family",Megachilidae,Lithurgopsis,species,3,3,3,2,≤50 mi from Kyle coordinate,27.8,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Lithurgus gibbosus,"leafcutter, mason, resin, and carder bee family",Megachilidae,Lithurgus,species,5,5,5,2,≤50 mi from Kyle coordinate,43.3,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Lithurgus (Lithurgus),"leafcutter, mason, resin, and carder bee family",Megachilidae,Lithurgus,unknown,1,1,1,1,≤150 mi from Kyle coordinate,97.8,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Lithurgus littoralis,"leafcutter, mason, resin, and carder bee family",Megachilidae,Lithurgus,species,19,19,19,5,regional locality text,75.7,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Macrotera crassa,mining bee family,Andrenidae,Macrotera,species,80,80,80,2,≤50 mi from Kyle coordinate,48.4,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Macrotera robertsi,mining bee family,Andrenidae,Macrotera,species,1,1,1,1,≤150 mi from Kyle coordinate,124.4,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Macrotera texana,mining bee family,Andrenidae,Macrotera,species,62,62,61,2,≤50 mi from Kyle coordinate,39.2,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Megachile,leafcutter/resin bee,Megachilidae,Megachile,genus,19,19,19,7,≤25 mi from Kyle coordinate,15.3,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Megachile addenda,leafcutter/resin bee,Megachilidae,Megachile,species,17,17,17,2,≤50 mi from Kyle coordinate,34.7,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Megachile agustini,leafcutter/resin bee,Megachilidae,Megachile,species,2,2,2,1,regional locality text,75.7,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Megachile albitarsis,leafcutter/resin bee,Megachilidae,Megachile,species,2,2,0,0,≤150 mi from Kyle coordinate,101.5,"This dataset has little or no plant-link evidence for this taxon; use the family-level nesting clue first. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Megachile altbitarsis,leafcutter/resin bee,,,unknown,4,4,4,2,≤25 mi from Kyle coordinate,21.1,Plant a mix of locally native flowers recorded with this bee. Protect nesting habitat and keep pesticide use low.
Megachile amica,leafcutter/resin bee,Megachilidae,Megachile,species,3,3,1,1,≤150 mi from Kyle coordinate,75.7,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Megachile brevis,leafcutter/resin bee,Megachilidae,Megachile,species,34,34,26,11,≤25 mi from Kyle coordinate,20.8,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Megachile campanulae,leafcutter/resin bee,Megachilidae,Megachile,species,1,1,1,1,≤50 mi from Kyle coordinate,36.5,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Megachile casadae,leafcutter/resin bee,Megachilidae,Megachile,species,3,3,0,0,≤150 mi from Kyle coordinate,97.8,"This dataset has little or no plant-link evidence for this taxon; use the family-level nesting clue first. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Megachile comata,leafcutter/resin bee,Megachilidae,Megachile,species,11,11,10,6,≤25 mi from Kyle coordinate,15.3,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Megachile davidsoni,leafcutter/resin bee,Megachilidae,Megachile,species,1,1,1,1,uncertain/outside local filter,169.8,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Megachile exilis,leafcutter/resin bee,Megachilidae,Megachile,species,4,4,4,2,≤25 mi from Kyle coordinate,23.7,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Megachile fortis,leafcutter/resin bee,Megachilidae,Megachile,species,8,8,8,1,≤25 mi from Kyle coordinate,21.1,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Megachile frugalis pseudofrugalis,leafcutter/resin bee,Megachilidae,Megachile,subspecies,12,12,11,3,≤50 mi from Kyle coordinate,48.1,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Megachile gentilis,leafcutter/resin bee,Megachilidae,Megachile,species,2,2,2,1,uncertain/outside local filter,186.9,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Megachile georgica,leafcutter/resin bee,Megachilidae,Megachile,species,6,6,6,1,≤50 mi from Kyle coordinate,34.7,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Megachile inimica,leafcutter/resin bee,Megachilidae,Megachile,species,8,8,4,2,≤25 mi from Kyle coordinate,21.1,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Megachile inimica sayi,leafcutter/resin bee,Megachilidae,Megachile,subspecies,1,1,0,0,regional locality text,62.6,"This dataset has little or no plant-link evidence for this taxon; use the family-level nesting clue first. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Megachile instita,leafcutter/resin bee,Megachilidae,Megachile,species,3,3,3,2,≤150 mi from Kyle coordinate,97.8,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Megachile lippiae,leafcutter/resin bee,Megachilidae,Megachile,species,18,18,18,7,≤50 mi from Kyle coordinate,34.7,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Megachile mendica,leafcutter/resin bee,Megachilidae,Megachile,species,4,4,2,2,≤50 mi from Kyle coordinate,48.1,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Megachile montivaga,leafcutter/resin bee,Megachilidae,Megachile,species,3,3,3,2,≤25 mi from Kyle coordinate,15.3,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Megachile mucida,leafcutter/resin bee,Megachilidae,Megachile,species,1,1,0,0,≤150 mi from Kyle coordinate,54.2,"This dataset has little or no plant-link evidence for this taxon; use the family-level nesting clue first. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Megachile mucorosa,leafcutter/resin bee,Megachilidae,Megachile,species,1,1,0,0,regional locality text,84.4,"This dataset has little or no plant-link evidence for this taxon; use the family-level nesting clue first. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Megachile newberryae,leafcutter/resin bee,Megachilidae,Megachile,species,2,2,2,1,≤150 mi from Kyle coordinate,97.8,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Megachile onobrychidis,leafcutter/resin bee,Megachilidae,Megachile,species,1,1,0,0,≤150 mi from Kyle coordinate,101.9,"This dataset has little or no plant-link evidence for this taxon; use the family-level nesting clue first. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Megachile parallela,leafcutter/resin bee,Megachilidae,Megachile,species,44,44,12,7,≤50 mi from Kyle coordinate,34.7,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Megachile parksi,leafcutter/resin bee,Megachilidae,Megachile,species,2,2,1,1,≤50 mi from Kyle coordinate,43.3,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Megachile policaris,leafcutter/resin bee,Megachilidae,Megachile,species,198,198,71,21,≤25 mi from Kyle coordinate,20.8,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Megachile pugnata,leafcutter/resin bee,Megachilidae,Megachile,species,1,1,1,1,regional locality text,75.7,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Megachile rugifrons,leafcutter/resin bee,Megachilidae,Megachile,species,12,12,10,2,≤50 mi from Kyle coordinate,34.7,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Megachile sculpturalis,leafcutter/resin bee,Megachilidae,Megachile,species,1,1,1,1,≤50 mi from Kyle coordinate,28.9,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Megachile snowi,leafcutter/resin bee,Megachilidae,Megachile,species,2,2,2,2,≤50 mi from Kyle coordinate,34.7,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Megachile townsendiana,leafcutter/resin bee,Megachilidae,Megachile,species,2,2,0,0,≤150 mi from Kyle coordinate,101.9,"This dataset has little or no plant-link evidence for this taxon; use the family-level nesting clue first. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Megachilidae,"leafcutter, mason, resin, and carder bee family",Megachilidae,,family,1,1,0,0,≤150 mi from Kyle coordinate,54.2,"This dataset has little or no plant-link evidence for this taxon; use the family-level nesting clue first. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Melissodes,long-horned bee,Apidae,Melissodes,genus,1,1,1,1,≤150 mi from Kyle coordinate,118.5,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Melissodes bimaculatus,long-horned bee,Apidae,Melissodes,species,43,43,15,7,≤25 mi from Kyle coordinate,7.3,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Melissodes communis communis,long-horned bee,Apidae,Melissodes,subspecies,12,12,12,6,≤50 mi from Kyle coordinate,34.7,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Melissodes coreopsis,long-horned bee,Apidae,Melissodes,species,35,35,32,9,≤25 mi from Kyle coordinate,15.3,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Melissodes gelidus,long-horned bee,Apidae,Melissodes,species,1,1,1,1,≤150 mi from Kyle coordinate,89.9,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Melissodes gilensis gilensis,long-horned bee,Apidae,Melissodes,subspecies,3,3,3,2,≤150 mi from Kyle coordinate,97.8,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Melissodes intortus,long-horned bee,Apidae,Melissodes,species,9,9,7,2,regional locality text,65.7,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Melissodes montanus,long-horned bee,Apidae,Melissodes,species,1,1,1,1,≤150 mi from Kyle coordinate,52.8,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Melissodes opuntiellus,long-horned bee,Apidae,Melissodes,species,2,2,2,1,uncertain/outside local filter,169.8,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Melissodes paroselae,long-horned bee,Apidae,Melissodes,species,2,2,2,1,≤150 mi from Kyle coordinate,130.6,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Melissodes rivalis,long-horned bee,Apidae,Melissodes,species,9,9,9,1,≤150 mi from Kyle coordinate,83.5,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Melissodes tepaneca,long-horned bee,Apidae,Melissodes,species,126,126,116,19,≤25 mi from Kyle coordinate,20.8,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Melissodes tristis,long-horned bee,Apidae,Melissodes,species,198,198,172,20,≤25 mi from Kyle coordinate,20.8,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Melissodes wheeleri,long-horned bee,Apidae,Melissodes,species,20,20,6,4,≤50 mi from Kyle coordinate,34.7,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Melissoptila otomita,"apids: bumble bees, carpenter bees, long-horned bees, honey bees, and relatives",Apidae,Melissoptila,species,2,2,2,1,≤25 mi from Kyle coordinate,21.4,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Nomada,cuckoo bee,Apidae,Nomada,genus,11,11,1,1,≤50 mi from Kyle coordinate,39.2,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Nomada texana,cuckoo bee,Apidae,Nomada,species,7,7,1,1,≤150 mi from Kyle coordinate,51.8,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Nomia fedorensis,sweat bee family,Halictidae,Nomia,species,1,1,1,1,≤50 mi from Kyle coordinate,43.3,Plant a mix of locally native flowers recorded with this bee. Many are small ground-nesting bees. Bare soil patches and low-disturbance edges can matter.
Nomia nortoni,sweat bee family,Halictidae,Nomia,species,2,2,1,1,≤25 mi from Kyle coordinate,9.0,Plant a mix of locally native flowers recorded with this bee. Many are small ground-nesting bees. Bare soil patches and low-disturbance edges can matter.
Nomia nortoni nortoni,sweat bee family,Halictidae,Nomia,subspecies,5,5,4,2,≤25 mi from Kyle coordinate,20.8,Plant a mix of locally native flowers recorded with this bee. Many are small ground-nesting bees. Bare soil patches and low-disturbance edges can matter.
Nomia tetrazonata,sweat bee family,Halictidae,Nomia,species,1,1,0,0,uncertain/outside local filter,186.7,This dataset has little or no plant-link evidence for this taxon; use the family-level nesting clue first. Many are small ground-nesting bees. Bare soil patches and low-disturbance edges can matter.
Osmia botitena,mason bee,Megachilidae,Osmia,species,1,1,0,0,regional locality text,102.0,"This dataset has little or no plant-link evidence for this taxon; use the family-level nesting clue first. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Osmia chalybea,mason bee,Megachilidae,Osmia,species,2,2,2,1,≤50 mi from Kyle coordinate,27.8,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Osmia coloradensis,mason bee,Megachilidae,Osmia,species,11,11,11,1,≤50 mi from Kyle coordinate,33.0,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Osmia georgica,mason bee,Megachilidae,Osmia,species,1,1,1,1,≤50 mi from Kyle coordinate,33.0,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Osmia ribifloris,mason bee,Megachilidae,Osmia,species,1,1,1,1,≤25 mi from Kyle coordinate,20.8,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Osmia ribifloris ribifloris,mason bee,Megachilidae,Osmia,subspecies,2,2,1,1,≤25 mi from Kyle coordinate,15.2,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Osmia subfasciata,mason bee,Megachilidae,Osmia,species,12,12,12,2,≤25 mi from Kyle coordinate,21.4,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Osmia subfasciata subfasciata,mason bee,Megachilidae,Osmia,subspecies,60,60,40,4,regional locality text,75.7,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Osmia texana,mason bee,Megachilidae,Osmia,species,16,16,16,4,regional locality text,76.8,"Plant a mix of locally native flowers recorded with this bee. Many use hollow stems, cavities, mud, leaf pieces, resin, or plant fibers. Leave stems and avoid over-cleaning."
Panurgini,mining bee family,Andrenidae,,tribe,5,5,4,3,≤50 mi from Kyle coordinate,25.7,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Panurginus,mining bee family,Andrenidae,Panurginus,genus,2,2,2,1,regional locality text,84.4,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Panurginus polytrichus,mining bee family,Andrenidae,Panurginus,species,2,2,0,0,≤150 mi from Kyle coordinate,135.8,This dataset has little or no plant-link evidence for this taxon; use the family-level nesting clue first. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Peponapis pruinosa,"apids: bumble bees, carpenter bees, long-horned bees, honey bees, and relatives",Apidae,Peponapis,species,3,3,3,2,≤25 mi from Kyle coordinate,21.1,"Plant a mix of locally native flowers recorded with this bee. Very mixed family. Some nest in soil, wood, stems, cavities, or colonies. Use season-long bloom diversity."
Perdita,small mining bee,Andrenidae,Perdita,genus,8,8,8,2,≤150 mi from Kyle coordinate,68.8,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Perdita ashmeadi vierecki,small mining bee,Andrenidae,Perdita,subspecies,4,4,4,1,uncertain/outside local filter,178.7,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Perdita beameri,small mining bee,Andrenidae,Perdita,species,30,30,0,0,≤150 mi from Kyle coordinate,97.8,This dataset has little or no plant-link evidence for this taxon; use the family-level nesting clue first. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Perdita deltophora,small mining bee,Andrenidae,Perdita,species,12,12,2,2,≤150 mi from Kyle coordinate,97.8,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Perdita exclamans,small mining bee,Andrenidae,Perdita,species,1,1,1,1,uncertain/outside local filter,178.7,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Perdita foveata brachycephala,small mining bee,Andrenidae,Perdita,subspecies,36,36,12,1,≤50 mi from Kyle coordinate,43.3,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Perdita gerhardi dallasiana,small mining bee,Andrenidae,Perdita,subspecies,7,7,0,0,≤50 mi from Kyle coordinate,43.3,This dataset has little or no plant-link evidence for this taxon; use the family-level nesting clue first. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Perdita (Hexaperdita) ignota isopappi x crawfordi,small mining bee,Andrenidae,Perdita,unknown,106,106,106,2,regional locality text,52.8,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Perdita ignota crawfordi,small mining bee,Andrenidae,Perdita,subspecies,93,93,93,2,regional locality text,56.9,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
Perdita ignota isopappi,small mining bee,Andrenidae,Perdita,subspecies,29,29,28,1,≤50 mi from Kyle coordinate,43.3,Plant a mix of locally native flowers recorded with this bee. Many are solitary ground-nesters. Keep some sunny bare soil and avoid sealing every patch with mulch.
